"date","fremont_bridge_nb","fremont_bridge_sb"
"2015-07-13T05:00:00.000","32","11"
"2015-07-08T12:00:00.000","71","51"
"2015-07-26T04:00:00.000","2","1"
"2015-07-16T15:00:00.000","59","85"
"2012-11-22T07:00:00.000","5","5"
"2015-07-12T20:00:00.000","33","36"
"2012-11-22T09:00:00.000","22","22"
"2015-07-11T13:00:00.000","84","66"
"2015-07-27T18:00:00.000","143","327"
"2015-07-20T11:00:00.000","40","37"
"2015-07-24T02:00:00.000","1","2"
"2015-07-08T00:00:00.000","9","11"
"2015-07-31T08:00:00.000","315","189"
"2015-07-30T10:00:00.000","72","58"
"2015-07-15T10:00:00.000","63","66"
"2012-11-22T18:00:00.000","2","2"
"2015-07-26T17:00:00.000","28","26"
"2015-07-10T12:00:00.000","50","45"
"2015-07-11T09:00:00.000","77","41"
"2015-07-23T16:00:00.000","143","194"
"2015-07-07T00:00:00.000","9","10"
"2015-07-26T05:00:00.000","4","5"
"2012-11-23T01:00:00.000","0","0"
"2012-11-23T02:00:00.000","1","1"
"2012-11-23T03:00:00.000","0","0"
"2015-07-05T06:00:00.000","12","10"
"2015-07-05T19:00:00.000","52","55"
"2015-07-07T12:00:00.000","64","64"
"2015-07-29T11:00:00.000","63","52"
"2015-07-14T07:00:00.000","390","146"
"2015-07-07T05:00:00.000","33","24"
"2012-11-23T10:00:00.000","16","16"
"2015-07-05T23:00:00.000","8","8"
"2015-07-26T21:00:00.000","11","6"
"2015-07-17T23:00:00.000","17","27"
"2015-07-23T19:00:00.000","99","149"
"2015-07-20T02:00:00.000","4","3"
"2015-07-11T02:00:00.000","7","6"
"2015-07-17T16:00:00.000","145","231"
"2015-07-13T14:00:00.000","56","43"
"2015-07-22T14:00:00.000","62","95"
"2015-07-11T06:00:00.000","22","34"
"2015-07-23T22:00:00.000","27","20"
"2015-07-11T12:00:00.000","90","70"
"2015-07-03T09:00:00.000","89","68"
"2015-07-26T02:00:00.000","5","5"
"2012-11-24T01:00:00.000","1","1"
"2015-07-14T06:00:00.000","146","63"
"2015-07-10T00:00:00.000","6","5"
"2015-07-16T18:00:00.000","147","299"
"2015-07-07T10:00:00.000","92","60"
"2015-07-07T11:00:00.000","55","55"
"2015-07-08T05:00:00.000","32","18"
"2015-07-08T13:00:00.000","73","46"
"2012-11-24T09:00:00.000","20","20"
"2015-07-25T11:00:00.000","35","35"
"2015-07-27T19:00:00.000","93","126"
"2015-07-23T07:00:00.000","290","139"
